Segment,Country, Product , Discount Band ,Units Sold, Manufacturing Price , Sale Price , Gross Sales , Discounts , Sales , COGS , Profit ,Date,Month Number, Month Name ,Year,,
Government,Canada, Carretera , None ,1618.5, $3.00 , $20.00 ," $32,370.00 ", $-   ," $32,370.00 "," $4,855.50 "," $27,514.50 ",1/1/2014,1, January ,2014,,
Government,Germany, Carretera , None ,1321, $3.00 , $20.00 ," $26,420.00 ", $-   ," $26,420.00 "," $3,963.00 "," $22,457.00 ",1/1/2014,1, January ,2014,,
Midmarket,France, Carretera , None ,2178, $3.00 , $15.00 ," $32,670.00 ", $-   ," $32,670.00 "," $6,534.00 "," $26,136.00 ",6/1/2014,6, June ,2014,,
Midmarket,Germany, Carretera , None ,888, $3.00 , $15.00 ," $13,320.00 ", $-   ," $13,320.00 "," $2,664.00 "," $10,656.00 ",6/1/2014,6, June ,2014,,
Midmarket,Mexico, Carretera , None ,2470, $3.00 , $15.00 ," $37,050.00 ", $-   ," $37,050.00 "," $7,410.00 "," $29,640.00 ",6/1/2014,6, June ,2014,,
Government,Germany, Carretera , None ,1513, $3.00 , $350.00 ," $529,550.00 ", $-   ," $529,550.00 "," $4,539.00 "," $525,011.00 ",12/1/2014,12, December ,2014,,
Midmarket,Germany, Montana , None ,921, $5.00 , $15.00 ," $13,815.00 ", $-   ," $13,815.00 "," $4,605.00 "," $9,210.00 ",3/1/2014,3, March ,2014,,
Channel Partners,Canada, Montana , None ,2518, $5.00 , $12.00 ," $30,216.00 ", $-   ," $30,216.00 "," $12,590.00 "," $17,626.00 ",6/1/2014,6, June ,2014,,
Government,France, Montana , None ,1899, $5.00 , $20.00 ," $37,980.00 ", $-   ," $37,980.00 "," $9,495.00 "," $28,485.00 ",6/1/2014,6, June ,2014,,
Channel Partners,Germany, Montana , None ,1545, $5.00 , $12.00 ," $18,540.00 ", $-   ," $18,540.00 "," $7,725.00 "," $10,815.00 ",6/1/2014,6, June ,2014,,
Midmarket,Mexico, Montana , None ,2470, $5.00 , $15.00 ," $37,050.00 ", $-   ," $37,050.00 "," $12,350.00 "," $24,700.00 ",6/1/2014,6, June ,2014,,
Enterprise,Canada, Montana , None ,2665.5, $5.00 , $125.00 ," $333,187.50 ", $-   ," $333,187.50 "," $13,327.50 "," $319,860.00 ",7/1/2014,7, July ,2014,,
Small Business,Mexico, Montana , None ,958, $5.00 , $300.00 ," $287,400.00 ", $-   ," $287,400.00 "," $4,790.00 "," $282,610.00 ",8/1/2014,8, August ,2014,,
Government,Germany, Montana , None ,2146, $5.00 , $7.00 ," $15,022.00 ", $-   ," $15,022.00 "," $10,730.00 "," $4,292.00 ",9/1/2014,9, September ,2014,,
Enterprise,Canada, Montana , None ,345, $5.00 , $125.00 ," $43,125.00 ", $-   ," $43,125.00 "," $1,725.00 "," $41,400.00 ",10/1/2013,10, October ,2013,,
Midmarket,USA, Montana , None ,615, $5.00 , $15.00 ," $9,225.00 ", $-   ," $9,225.00 "," $3,075.00 "," $6,150.00 ",12/1/2014,12, December ,2014,,
Government,Canada, Paseo , None ,292, $10.00 , $20.00 ," $5,840.00 ", $-   ," $5,840.00 "," $2,920.00 "," $2,920.00 ",2/1/2014,2, February ,2014,,
Midmarket,Mexico, Paseo , None ,974, $10.00 , $15.00 ," $14,610.00 ", $-   ," $14,610.00 "," $9,740.00 "," $4,870.00 ",2/1/2014,2, February ,2014,,
Channel Partners,Canada, Paseo , None ,2518, $10.00 , $12.00 ," $30,216.00 ", $-   ," $30,216.00 "," $25,180.00 "," $5,036.00 ",6/1/2014,6, June ,2014,,
Government,Germany, Paseo , None ,1006, $10.00 , $350.00 ," $352,100.00 ", $-   ," $352,100.00 "," $10,060.00 "," $342,040.00 ",6/1/2014,6, June ,2014,,
Channel Partners,Germany, Paseo , None ,367, $10.00 , $12.00 ," $4,404.00 ", $-   ," $4,404.00 "," $3,670.00 ", $734.00 ,7/1/2014,7, July ,2014,,
Government,Mexico, Paseo , None ,883, $10.00 , $7.00 ," $6,181.00 ", $-   ," $6,181.00 "," $8,830.00 "," $(2,649.00)",8/1/2014,8, August ,2014,,
Midmarket,France, Paseo , None ,549, $10.00 , $15.00 ," $8,235.00 ", $-   ," $8,235.00 "," $5,490.00 "," $2,745.00 ",9/1/2013,9, September ,2013,,
Small Business,Mexico, Paseo , None ,788, $10.00 , $300.00 ," $236,400.00 ", $-   ," $236,400.00 "," $7,880.00 "," $228,520.00 ",9/1/2013,9, September ,2013,,
Midmarket,Mexico, Paseo , None ,2472, $10.00 , $15.00 ," $37,080.00 ", $-   ," $37,080.00 "," $24,720.00 "," $12,360.00 ",9/1/2014,9, September ,2014,,
Government,USA, Paseo , None ,1143, $10.00 , $7.00 ," $8,001.00 ", $-   ," $8,001.00 "," $11,430.00 "," $(3,429.00)",10/1/2014,10, October ,2014,,
Government,Canada, Paseo , None ,1725, $10.00 , $350.00 ," $603,750.00 ", $-   ," $603,750.00 "," $17,250.00 "," $586,500.00 ",11/1/2013,11, November ,2013,,
Channel Partners,USA, Paseo , None ,912, $10.00 , $12.00 ," $10,944.00 ", $-   ," $10,944.00 "," $9,120.00 "," $1,824.00 ",11/1/2013,11, November ,2013,,
Midmarket,Canada, Paseo , None ,2152, $10.00 , $15.00 ," $32,280.00 ", $-   ," $32,280.00 "," $21,520.00 "," $10,760.00 ",12/1/2013,12, December ,2013,,
Government,Canada, Paseo , None ,1817, $10.00 , $20.00 ," $36,340.00 ", $-   ," $36,340.00 "," $18,170.00 "," $18,170.00 ",12/1/2014,12, December ,2014,,
Government,Germany, Paseo , None ,1513, $10.00 , $350.00 ," $529,550.00 ", $-   ," $529,550.00 "," $15,130.00 "," $514,420.00 ",12/1/2014,12, December ,2014,,
Government,Mexico, Velo , None ,1493, $120.00 , $7.00 ," $10,451.00 ", $-   ," $10,451.00 "," $179,160.00 "," $(168,709.00)",1/1/2014,1, January ,2014,,
Enterprise,France, Velo , None ,1804, $120.00 , $125.00 ," $225,500.00 ", $-   ," $225,500.00 "," $216,480.00 "," $9,020.00 ",2/1/2014,2, February ,2014,,
Channel Partners,Germany, Velo , None ,2161, $120.00 , $12.00 ," $25,932.00 ", $-   ," $25,932.00 "," $259,320.00 "," $(233,388.00)",3/1/2014,3, March ,2014,,
Government,Germany, Velo , None ,1006, $120.00 , $350.00 ," $352,100.00 ", $-   ," $352,100.00 "," $120,720.00 "," $231,380.00 ",6/1/2014,6, June ,2014,,
Channel Partners,Germany, Velo , None ,1545, $120.00 , $12.00 ," $18,540.00 ", $-   ," $18,540.00 "," $185,400.00 "," $(166,860.00)",6/1/2014,6, June ,2014,,
Enterprise,USA, Velo , None ,2821, $120.00 , $125.00 ," $352,625.00 ", $-   ," $352,625.00 "," $338,520.00 "," $14,105.00 ",8/1/2014,8, August ,2014,,
Enterprise,Canada, Velo , None ,345, $120.00 , $125.00 ," $43,125.00 ", $-   ," $43,125.00 "," $41,400.00 "," $1,725.00 ",10/1/2013,10, October ,2013,,
Small Business,Canada, VTT , None ,2001, $250.00 , $300.00 ," $600,300.00 ", $-   ," $600,300.00 "," $500,250.00 "," $100,050.00 ",2/1/2014,2, February ,2014,,
