CATALOG_NAME,SCHEMA_NAME,CUBE_NAME,MEASURE_NAME,MEASURE_UNIQUE_NAME,MEASURE_CAPTION,MEASURE_GUID,MEASURE_AGGREGATOR,DATA_TYPE,NUMERIC_PRECISION,NUMERIC_SCALE,MEASURE_UNITS,DESCRIPTION,EXPRESSION,MEASURE_IS_VISIBLE,LEVELS_LIST,MEASURE_NAME_SQL_COLUMN_NAME,MEASURE_UNQUALIFIED_CAPTION,MEASUREGROUP_NAME,MEASURE_DISPLAY_FOLDER,DEFAULT_FORMAT_STRING
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,__cogs,[Measures].[__cogs],__cogs,,0,12,65535,-1,,,SUM ( 'financials (web)'[COGS] ),True,,__cogs,__cogs,Model_Measures,Model_Measures,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,__profit,[Measures].[__profit],__profit,,0,12,65535,-1,,,SUM ( 'financials (web)'[Profit] ),True,,__profit,__profit,Model_Measures,Model_Measures,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,__sales,[Measures].[__sales],__sales,,0,12,65535,-1,,,SUM ( 'financials (web)'[Sales] ),True,,__sales,__sales,Model_Measures,Model_Measures,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,__units_sold,[Measures].[__units_sold],__units_sold,,0,12,65535,-1,,,SUM ( 'financials (web)'[Units Sold] ),True,,__units_sold,__units_sold,Model_Measures,Model_Measures,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,__gross_sales,[Measures].[__gross_sales],__gross_sales,,0,12,65535,-1,,,SUM ( 'financials (web)'[Gross Sales] ),True,,__gross_sales,__gross_sales,Model_Measures,Model_Measures,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,Last_modified_date,[Measures].[Last_modified_date],Last_modified_date,,0,12,65535,-1,,,"VAR _date = UTCNOW () RETURN ""Last modified date: "" & _date",True,,Last_modified_date,Last_modified_date,Model_Measures,Auxiliary_Measures,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,__highlight_bar_chart,[Measures].[__highlight_bar_chart],__highlight_bar_chart,,0,12,65535,-1,,,"VAR __highest =
    MAXX ( ALLSELECTED ( 'Date'[Date] ), [__sales] )
VAR __lowest =
    MINX ( ALLSELECTED ( 'Date'[Date] ), [__sales] )
VAR Result =
    SWITCH (
        TRUE (),
        __highest = [__sales], ""#108372"",
        __lowest = [__sales], ""#F15628"",
        BLANK ()
    )
RETURN
    Result",True,,__highlight_bar_chart,__highlight_bar_chart,Model_Measures,Auxiliary_Measures,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,YTD __cogs,[Measures].[YTD __cogs],YTD __cogs,,0,12,65535,-1,,,"IF ( [_ShowValueForDates], CALCULATE ( [__cogs], DATESYTD ( 'Date'[Date] ) ) )",True,,YTD __cogs,YTD __cogs,Model_Measures,Time intelligence\To-date total\__cogs,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,QTD __cogs,[Measures].[QTD __cogs],QTD __cogs,,0,12,65535,-1,,,"IF ( [_ShowValueForDates], CALCULATE ( [__cogs], DATESQTD ( 'Date'[Date] ) ) )",True,,QTD __cogs,QTD __cogs,Model_Measures,Time intelligence\To-date total\__cogs,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,MTD __cogs,[Measures].[MTD __cogs],MTD __cogs,,0,12,65535,-1,,,"IF ( [_ShowValueForDates], CALCULATE ( [__cogs], DATESMTD ( 'Date'[Date] ) ) )",True,,MTD __cogs,MTD __cogs,Model_Measures,Time intelligence\To-date total\__cogs,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,PY __cogs,[Measures].[PY __cogs],PY __cogs,,0,12,65535,-1,,,"IF (
    [_ShowValueForDates],
    CALCULATE (
        [__cogs],
        CALCULATETABLE (
            DATEADD ( 'Date'[Date], -1, YEAR ),
            'Date'[DateWithTransactions] = TRUE
        )
    )
)",True,,PY __cogs,PY __cogs,Model_Measures,Time intelligence\Growth\__cogs,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,YOY __cogs,[Measures].[YOY __cogs],YOY __cogs,,0,12,65535,-1,,,"VAR __ValueCurrentPeriod = [__cogs]
VAR __ValuePreviousPeriod = [PY __cogs]
VAR __Result =
    IF (
        NOT ISBLANK ( __ValueCurrentPeriod ) && NOT ISBLANK ( __ValuePreviousPeriod ),
        __ValueCurrentPeriod - __ValuePreviousPeriod
    )
RETURN
    __Result",True,,YOY __cogs,YOY __cogs,Model_Measures,Time intelligence\Growth\__cogs,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,YOY % __cogs,[Measures].[YOY % __cogs],YOY % __cogs,,0,12,65535,-1,,,"DIVIDE ( [YOY __cogs], [PY __cogs] )",True,,YOY % __cogs,YOY % __cogs,Model_Measures,Time intelligence\Growth\__cogs,0.00%
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,PQ __cogs,[Measures].[PQ __cogs],PQ __cogs,,0,12,65535,-1,,,"IF (
    [_ShowValueForDates],
    CALCULATE (
        [__cogs],
        CALCULATETABLE (
            DATEADD ( 'Date'[Date], -1, QUARTER ),
            'Date'[DateWithTransactions] = TRUE
        )
    )
)",True,,PQ __cogs,PQ __cogs,Model_Measures,Time intelligence\Growth\__cogs,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,QOQ __cogs,[Measures].[QOQ __cogs],QOQ __cogs,,0,12,65535,-1,,,"VAR __ValueCurrentPeriod = [__cogs]
VAR __ValuePreviousPeriod = [PQ __cogs]
VAR __Result =
    IF (
        NOT ISBLANK ( __ValueCurrentPeriod ) && NOT ISBLANK ( __ValuePreviousPeriod ),
        __ValueCurrentPeriod - __ValuePreviousPeriod
    )
RETURN
    __Result",True,,QOQ __cogs,QOQ __cogs,Model_Measures,Time intelligence\Growth\__cogs,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,QOQ % __cogs,[Measures].[QOQ % __cogs],QOQ % __cogs,,0,12,65535,-1,,,"DIVIDE ( [QOQ __cogs], [PQ __cogs] )",True,,QOQ % __cogs,QOQ % __cogs,Model_Measures,Time intelligence\Growth\__cogs,0.00%
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,PM __cogs,[Measures].[PM __cogs],PM __cogs,,0,12,65535,-1,,,"IF (
    [_ShowValueForDates],
    CALCULATE (
        [__cogs],
        CALCULATETABLE (
            DATEADD ( 'Date'[Date], -1, MONTH ),
            'Date'[DateWithTransactions] = TRUE
        )
    )
)",True,,PM __cogs,PM __cogs,Model_Measures,Time intelligence\Growth\__cogs,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,MOM __cogs,[Measures].[MOM __cogs],MOM __cogs,,0,12,65535,-1,,,"VAR __ValueCurrentPeriod = [__cogs]
VAR __ValuePreviousPeriod = [PM __cogs]
VAR __Result =
    IF (
        NOT ISBLANK ( __ValueCurrentPeriod ) && NOT ISBLANK ( __ValuePreviousPeriod ),
        __ValueCurrentPeriod - __ValuePreviousPeriod
    )
RETURN
    __Result",True,,MOM __cogs,MOM __cogs,Model_Measures,Time intelligence\Growth\__cogs,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,MOM % __cogs,[Measures].[MOM % __cogs],MOM % __cogs,,0,12,65535,-1,,,"DIVIDE ( [MOM __cogs], [PM __cogs] )",True,,MOM % __cogs,MOM % __cogs,Model_Measures,Time intelligence\Growth\__cogs,0.00%
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,PYTD __cogs,[Measures].[PYTD __cogs],PYTD __cogs,,0,12,65535,-1,,,"IF (
    [_ShowValueForDates],
    CALCULATE (
        [YTD __cogs],
        CALCULATETABLE (
            DATEADD ( 'Date'[Date], -1, YEAR ),
            'Date'[DateWithTransactions] = TRUE
        )
    )
)",True,,PYTD __cogs,PYTD __cogs,Model_Measures,Time intelligence\To-date growth\__cogs,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,YOYTD __cogs,[Measures].[YOYTD __cogs],YOYTD __cogs,,0,12,65535,-1,,,"VAR __ValueCurrentPeriod = [YTD __cogs]
VAR __ValuePreviousPeriod = [PYTD __cogs]
VAR __Result =
    IF (
        NOT ISBLANK ( __ValueCurrentPeriod ) && NOT ISBLANK ( __ValuePreviousPeriod ),
        __ValueCurrentPeriod - __ValuePreviousPeriod
    )
RETURN
    __Result",True,,YOYTD __cogs,YOYTD __cogs,Model_Measures,Time intelligence\To-date growth\__cogs,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,YOYTD % __cogs,[Measures].[YOYTD % __cogs],YOYTD % __cogs,,0,12,65535,-1,,,"DIVIDE ( [YOYTD __cogs], [PYTD __cogs] )",True,,YOYTD % __cogs,YOYTD % __cogs,Model_Measures,Time intelligence\To-date growth\__cogs,0.00%
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,PQTD __cogs,[Measures].[PQTD __cogs],PQTD __cogs,,0,12,65535,-1,,,"IF (
    [_ShowValueForDates],
    CALCULATE (
        [QTD __cogs],
        CALCULATETABLE (
            DATEADD ( 'Date'[Date], -1, QUARTER ),
            'Date'[DateWithTransactions] = TRUE
        )
    )
)",True,,PQTD __cogs,PQTD __cogs,Model_Measures,Time intelligence\To-date growth\__cogs,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,QOQTD __cogs,[Measures].[QOQTD __cogs],QOQTD __cogs,,0,12,65535,-1,,,"VAR __ValueCurrentPeriod = [QTD __cogs]
VAR __ValuePreviousPeriod = [PQTD __cogs]
VAR __Result =
    IF (
        NOT ISBLANK ( __ValueCurrentPeriod ) && NOT ISBLANK ( __ValuePreviousPeriod ),
        __ValueCurrentPeriod - __ValuePreviousPeriod
    )
RETURN
    __Result",True,,QOQTD __cogs,QOQTD __cogs,Model_Measures,Time intelligence\To-date growth\__cogs,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,QOQTD % __cogs,[Measures].[QOQTD % __cogs],QOQTD % __cogs,,0,12,65535,-1,,,"DIVIDE ( [QOQTD __cogs], [PQTD __cogs] )",True,,QOQTD % __cogs,QOQTD % __cogs,Model_Measures,Time intelligence\To-date growth\__cogs,0.00%
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,PMTD __cogs,[Measures].[PMTD __cogs],PMTD __cogs,,0,12,65535,-1,,,"IF (
    [_ShowValueForDates],
    CALCULATE (
        [MTD __cogs],
        CALCULATETABLE (
            DATEADD ( 'Date'[Date], -1, MONTH ),
            'Date'[DateWithTransactions] = TRUE
        )
    )
)",True,,PMTD __cogs,PMTD __cogs,Model_Measures,Time intelligence\To-date growth\__cogs,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,MOMTD __cogs,[Measures].[MOMTD __cogs],MOMTD __cogs,,0,12,65535,-1,,,"VAR __ValueCurrentPeriod = [MTD __cogs]
VAR __ValuePreviousPeriod = [PMTD __cogs]
VAR __Result =
    IF (
        NOT ISBLANK ( __ValueCurrentPeriod ) && NOT ISBLANK ( __ValuePreviousPeriod ),
        __ValueCurrentPeriod - __ValuePreviousPeriod
    )
RETURN
    __Result",True,,MOMTD __cogs,MOMTD __cogs,Model_Measures,Time intelligence\To-date growth\__cogs,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,MOMTD % __cogs,[Measures].[MOMTD % __cogs],MOMTD % __cogs,,0,12,65535,-1,,,"DIVIDE ( [MOMTD __cogs], [PMTD __cogs] )",True,,MOMTD % __cogs,MOMTD % __cogs,Model_Measures,Time intelligence\To-date growth\__cogs,0.00%
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,PYC __cogs,[Measures].[PYC __cogs],PYC __cogs,,0,12,65535,-1,,,"IF (
    [_ShowValueForDates],
    CALCULATE ( [__cogs], PARALLELPERIOD ( 'Date'[Date], -1, YEAR ) )
)",True,,PYC __cogs,PYC __cogs,Model_Measures,Time intelligence\Growth over full period\__cogs,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,YTDOPY __cogs,[Measures].[YTDOPY __cogs],YTDOPY __cogs,,0,12,65535,-1,,,"VAR __ValueCurrentPeriod = [YTD __cogs]
VAR __ValuePreviousPeriod = [PYC __cogs]
VAR __Result =
    IF (
        NOT ISBLANK ( __ValueCurrentPeriod ) && NOT ISBLANK ( __ValuePreviousPeriod ),
        __ValueCurrentPeriod - __ValuePreviousPeriod
    )
RETURN
    __Result",True,,YTDOPY __cogs,YTDOPY __cogs,Model_Measures,Time intelligence\Growth over full period\__cogs,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,YDTOPY % __cogs,[Measures].[YDTOPY % __cogs],YDTOPY % __cogs,,0,12,65535,-1,,,"DIVIDE ( [YTDOPY __cogs], [PYC __cogs] )",True,,YDTOPY % __cogs,YDTOPY % __cogs,Model_Measures,Time intelligence\Growth over full period\__cogs,0.00%
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,PQC __cogs,[Measures].[PQC __cogs],PQC __cogs,,0,12,65535,-1,,,"IF (
    [_ShowValueForDates],
    CALCULATE ( [__cogs], PARALLELPERIOD ( 'Date'[Date], -1, QUARTER ) )
)",True,,PQC __cogs,PQC __cogs,Model_Measures,Time intelligence\Growth over full period\__cogs,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,QTDOPQ __cogs,[Measures].[QTDOPQ __cogs],QTDOPQ __cogs,,0,12,65535,-1,,,"VAR __ValueCurrentPeriod = [QTD __cogs]
VAR __ValuePreviousPeriod = [PQC __cogs]
VAR __Result =
    IF (
        NOT ISBLANK ( __ValueCurrentPeriod ) && NOT ISBLANK ( __ValuePreviousPeriod ),
        __ValueCurrentPeriod - __ValuePreviousPeriod
    )
RETURN
    __Result",True,,QTDOPQ __cogs,QTDOPQ __cogs,Model_Measures,Time intelligence\Growth over full period\__cogs,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,QDTOPQ % __cogs,[Measures].[QDTOPQ % __cogs],QDTOPQ % __cogs,,0,12,65535,-1,,,"DIVIDE ( [QTDOPQ __cogs], [PQC __cogs] )",True,,QDTOPQ % __cogs,QDTOPQ % __cogs,Model_Measures,Time intelligence\Growth over full period\__cogs,0.00%
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,PMC __cogs,[Measures].[PMC __cogs],PMC __cogs,,0,12,65535,-1,,,"IF (
    [_ShowValueForDates],
    CALCULATE ( [__cogs], PARALLELPERIOD ( 'Date'[Date], -1, MONTH ) )
)",True,,PMC __cogs,PMC __cogs,Model_Measures,Time intelligence\Growth over full period\__cogs,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,MTDOPM __cogs,[Measures].[MTDOPM __cogs],MTDOPM __cogs,,0,12,65535,-1,,,"VAR __ValueCurrentPeriod = [MTD __cogs]
VAR __ValuePreviousPeriod = [PMC __cogs]
VAR __Result =
    IF (
        NOT ISBLANK ( __ValueCurrentPeriod ) && NOT ISBLANK ( __ValuePreviousPeriod ),
        __ValueCurrentPeriod - __ValuePreviousPeriod
    )
RETURN
    __Result",True,,MTDOPM __cogs,MTDOPM __cogs,Model_Measures,Time intelligence\Growth over full period\__cogs,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,MTDOPM % __cogs,[Measures].[MTDOPM % __cogs],MTDOPM % __cogs,,0,12,65535,-1,,,"DIVIDE ( [MTDOPM __cogs], [PMC __cogs] )",True,,MTDOPM % __cogs,MTDOPM % __cogs,Model_Measures,Time intelligence\Growth over full period\__cogs,0.00%
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,MAT __cogs,[Measures].[MAT __cogs],MAT __cogs,,0,12,65535,-1,,,"IF (
    [_ShowValueForDates],
    CALCULATE (
        [__cogs],
        DATESINPERIOD ( 'Date'[Date], MAX ( 'Date'[Date] ), -1, YEAR )
    )
)",True,,MAT __cogs,MAT __cogs,Model_Measures,Time intelligence\Moving annual growth\__cogs,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,PYMAT __cogs,[Measures].[PYMAT __cogs],PYMAT __cogs,,0,12,65535,-1,,,"IF (
    [_ShowValueForDates],
    CALCULATE ( [MAT __cogs], DATEADD ( 'Date'[Date], -1, YEAR ) )
)",True,,PYMAT __cogs,PYMAT __cogs,Model_Measures,Time intelligence\Moving annual growth\__cogs,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,MATG __cogs,[Measures].[MATG __cogs],MATG __cogs,,0,12,65535,-1,,,"VAR __ValueCurrentPeriod = [MAT __cogs]
VAR __ValuePreviousPeriod = [PYMAT __cogs]
VAR __Result =
    IF (
        NOT ISBLANK ( __ValueCurrentPeriod ) && NOT ISBLANK ( __ValuePreviousPeriod ),
        __ValueCurrentPeriod - __ValuePreviousPeriod
    )
RETURN
    __Result",True,,MATG __cogs,MATG __cogs,Model_Measures,Time intelligence\Moving annual growth\__cogs,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,MATG % __cogs,[Measures].[MATG % __cogs],MATG % __cogs,,0,12,65535,-1,,,"DIVIDE ( [MATG __cogs], [PYMAT __cogs] )",True,,MATG % __cogs,MATG % __cogs,Model_Measures,Time intelligence\Moving annual growth\__cogs,0.00%
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,YTD __gross_sales,[Measures].[YTD __gross_sales],YTD __gross_sales,,0,12,65535,-1,,,"IF (
    [_ShowValueForDates],
    CALCULATE ( [__gross_sales], DATESYTD ( 'Date'[Date] ) )
)",True,,YTD __gross_sales,YTD __gross_sales,Model_Measures,Time intelligence\To-date total\__gross_sales,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,QTD __gross_sales,[Measures].[QTD __gross_sales],QTD __gross_sales,,0,12,65535,-1,,,"IF (
    [_ShowValueForDates],
    CALCULATE ( [__gross_sales], DATESQTD ( 'Date'[Date] ) )
)",True,,QTD __gross_sales,QTD __gross_sales,Model_Measures,Time intelligence\To-date total\__gross_sales,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,MTD __gross_sales,[Measures].[MTD __gross_sales],MTD __gross_sales,,0,12,65535,-1,,,"IF (
    [_ShowValueForDates],
    CALCULATE ( [__gross_sales], DATESMTD ( 'Date'[Date] ) )
)",True,,MTD __gross_sales,MTD __gross_sales,Model_Measures,Time intelligence\To-date total\__gross_sales,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,PY __gross_sales,[Measures].[PY __gross_sales],PY __gross_sales,,0,12,65535,-1,,,"IF (
    [_ShowValueForDates],
    CALCULATE (
        [__gross_sales],
        CALCULATETABLE (
            DATEADD ( 'Date'[Date], -1, YEAR ),
            'Date'[DateWithTransactions] = TRUE
        )
    )
)",True,,PY __gross_sales,PY __gross_sales,Model_Measures,Time intelligence\Growth\__gross_sales,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,YOY __gross_sales,[Measures].[YOY __gross_sales],YOY __gross_sales,,0,12,65535,-1,,,"VAR __ValueCurrentPeriod = [__gross_sales]
VAR __ValuePreviousPeriod = [PY __gross_sales]
VAR __Result =
    IF (
        NOT ISBLANK ( __ValueCurrentPeriod ) && NOT ISBLANK ( __ValuePreviousPeriod ),
        __ValueCurrentPeriod - __ValuePreviousPeriod
    )
RETURN
    __Result",True,,YOY __gross_sales,YOY __gross_sales,Model_Measures,Time intelligence\Growth\__gross_sales,
8de6c40d-5f50-4c8f-b534-577974c93108,,Model,YOY % __gross_sales,[Measures].[YOY % __gross_sales],YOY % __gross_sales,,0,12,65535,-1,,,"DIVIDE ( [YOY __gross_sales], [PY __gross_sales] )",True,,YOY % __gross_sales,YOY % __gross_sales,Model_Measures,Time intelligence\Growth\__gross_sales,0.00%
