Segment,Country,Product,ID,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Government,Canada,Carretera,"Government,Canada,Carretera",None,477,12,29,13833,691.65,13141.35,5724,7417.35,45150,8,Aug,2023
Government,Germany,Carretera,"Government,Germany,Carretera",None,418,19,19,7942,397.1,7544.9,7942,-397.1,45694,2,Feb,2025
Midmarket,France,Carretera,"Midmarket,France,Carretera",None,520,16,22,11440,572,10868,8320,2548,45194,9,Sep,2023
Midmarket,Germany,Carretera,"Midmarket,Germany,Carretera",None,405,14,21,8505,425.25,8079.75,5670,2409.75,45343,2,Feb,2024
Midmarket,Mexico,Carretera,"Midmarket,Mexico,Carretera",None,97,14,20,1940,97,1843,1358,485,45042,4,Apr,2023
Government,Germany,Carretera,"Government,Germany,Carretera",None,818,19,19,15542,777.1,14764.9,15542,-777.1,45690,2,Feb,2025
Midmarket,Germany,Montana,"Midmarket,Germany,Montana",None,806,17,16,12896,644.8,12251.2,13702,-1450.8,45058,5,May,2023
Channel Partners,Canada,Montana,"Channel Partners,Canada,Montana",None,170,13,33,5610,280.5,5329.5,2210,3119.5,45103,6,Jun,2023
Government,France,Montana,"Government,France,Montana",None,692,12,35,24220,1211,23009,8304,14705,45663,1,Jan,2025
Channel Partners,Germany,Montana,"Channel Partners,Germany,Montana",None,711,11,28,19908,995.4,18912.6,7821,11091.6,45492,7,Jul,2024
Midmarket,Mexico,Montana,"Midmarket,Mexico,Montana",None,101,16,18,1818,90.9,1727.1,1616,111.1,45145,8,Aug,2023
Enterprise,Canada,Montana,"Enterprise,Canada,Montana",None,654,11,28,18312,915.6,17396.4,7194,10202.4,45529,8,Aug,2024
Small Business,Mexico,Montana,"Small Business,Mexico,Montana",None,866,16,23,19918,995.9,18922.1,13856,5066.1,45569,10,Oct,2024
Government,Germany,Montana,"Government,Germany,Montana",None,605,16,31,18755,937.75,17817.25,9680,8137.25,45406,4,Apr,2024
Enterprise,Canada,Montana,"Enterprise,Canada,Montana",None,343,11,28,9604,480.2,9123.8,3773,5350.8,45581,10,Oct,2024
Midmarket,USA,Montana,"Midmarket,USA,Montana",None,855,10,19,16245,812.25,15432.75,8550,6882.75,45114,7,Jul,2023
Government,Canada,Paseo,"Government,Canada,Paseo",None,281,17,38,10678,533.9,10144.1,4777,5367.1,45494,7,Jul,2024
Midmarket,Mexico,Paseo,"Midmarket,Mexico,Paseo",None,584,13,33,19272,963.6,18308.4,7592,10716.4,45559,9,Sep,2024
Channel Partners,Canada,Paseo,"Channel Partners,Canada,Paseo",None,49,11,21,1029,51.45,977.55,539,438.55,45188,9,Sep,2023
Government,Germany,Paseo,"Government,Germany,Paseo",None,170,14,22,3740,187,3553,2380,1173,45340,2,Feb,2024
Channel Partners,Germany,Paseo,"Channel Partners,Germany,Paseo",None,992,16,24,23808,1190.4,22617.6,15872,6745.6,45729,3,Mar,2025
Government,Mexico,Paseo,"Government,Mexico,Paseo",None,125,11,21,2625,131.25,2493.75,1375,1118.75,45098,6,Jun,2023
Midmarket,France,Paseo,"Midmarket,France,Paseo",None,774,16,27,20898,1044.9,19853.1,12384,7469.1,45607,11,Nov,2024
Small Business,Mexico,Paseo,"Small Business,Mexico,Paseo",None,979,11,33,32307,1615.35,30691.65,10769,19922.65,45558,9,Sep,2024
Midmarket,Mexico,Paseo,"Midmarket,Mexico,Paseo",None,94,13,33,3102,155.1,2946.9,1222,1724.9,45341,2,Feb,2024
Government,USA,Paseo,"Government,USA,Paseo",None,697,20,25,17425,871.25,16553.75,13940,2613.75,45646,12,Dec,2024
Government,Canada,Paseo,"Government,Canada,Paseo",None,302,17,38,11476,573.8,10902.2,5134,5768.2,45612,11,Nov,2024
Channel Partners,USA,Paseo,"Channel Partners,USA,Paseo",None,288,15,16,4608,230.4,4377.6,4320,57.6,45425,5,May,2024
Midmarket,Canada,Paseo,"Midmarket,Canada,Paseo",None,989,17,25,24725,1236.25,23488.75,16813,6675.75,45552,9,Sep,2024
Government,Canada,Paseo,"Government,Canada,Paseo",None,999,17,38,37962,1898.1,36063.9,16983,19080.9,45159,8,Aug,2023
