Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts, Sales,COGS,Profit,Date,Month Number,Month Name,Year
Midmarket,United States of America,Montana,None,615,5,15,9225,0,9225,6150,3075,41974,12,December,2014
Government,United States of America,Paseo,None,1143,10,7,8001,0,8001,5715,2286,41913,10,October,2014
Channel Partners,United States of America,Paseo,None,912,10,12,10944,0,10944,2736,8208,41579,11,November,2013
Enterprise,United States of America,Velo,None,2821,120,125,352625,0,352625,338520,14105,41852,8,August,2014
Channel Partners,United States of America,Amarilla,None,1953,260,12,23436,0,23436,5859,17577,41730,4,April,2014
Channel Partners,United States of America,Amarilla,None,2141,260,12,25692,0,25692,6423,19269,41852,8,August,2014
Government,United States of America,Amarilla,None,1143,260,7,8001,0,8001,5715,2286,41913,10,October,2014
Midmarket,United States of America,Amarilla,None,615,260,15,9225,0,9225,6150,3075,41974,12,December,2014
Channel Partners,United States of America,Carretera,Low,1858,3,12,22296,222.96,22073.04,5574,16499.04,41671,2,February,2014
Government,United States of America,Carretera,Low,2529,3,7,17703,177.03,17525.97,12645,4880.97,41821,7,July,2014
Enterprise,United States of America,Carretera,Low,330,3,125,41250,412.5,40837.5,39600,1237.5,41518,9,September,2013
Small Business,United States of America,Montana,Low,2301,5,300,690300,6903,683397,575250,108147,41730,4,April,2014
Small Business,United States of America,Montana,Low,2498,5,300,749400,7494,741906,624500,117406,41518,9,September,2013
Enterprise,United States of America,Montana,Low,663,5,125,82875,828.75,82046.25,79560,2486.25,41548,10,October,2013
Midmarket,United States of America,Paseo,Low,1514,10,15,22710,227.1,22482.9,15140,7342.9,41671,2,February,2014
Government,United States of America,Paseo,Low,4492.5,10,7,31447.5,314.475,31133.025,22462.5,8670.525,41730,4,April,2014
Enterprise,United States of America,Paseo,Low,727,10,125,90875,908.75,89966.25,87240,2726.25,41791,6,June,2014
Small Business,United States of America,Paseo,Low,2905,10,300,871500,8715,862785,726250,136535,41944,11,November,2014
Enterprise,United States of America,Velo,Low,663,120,125,82875,828.75,82046.25,79560,2486.25,41548,10,October,2013
Enterprise,United States of America,VTT,Low,727,250,125,90875,908.75,89966.25,87240,2726.25,41791,6,June,2014
Channel Partners,United States of America,Amarilla,Low,1989,260,12,23868,238.68,23629.32,5967,17662.32,41518,9,September,2013
Channel Partners,United States of America,Montana,Low,1142,5,12,13704,274.08,13429.92,3426,10003.92,41791,6,June,2014
Government,United States of America,Montana,Low,1566,5,20,31320,626.4,30693.6,15660,15033.6,41913,10,October,2014
Channel Partners,United States of America,Paseo,Low,1142,10,12,13704,274.08,13429.92,3426,10003.92,41791,6,June,2014
Midmarket,United States of America,Paseo,Low,1925,10,15,28875,577.5,28297.5,19250,9047.5,41609,12,December,2013
Government,United States of America,Paseo,Low,2013,10,7,14091,281.82,13809.18,10065,3744.18,41609,12,December,2013
Government,United States of America,Velo,Low,1566,120,20,31320,626.4,30693.6,15660,15033.6,41913,10,October,2014
Government,United States of America,VTT,Low,266,250,350,93100,1862,91238,69160,22078,41609,12,December,2013
Government,United States of America,Amarilla,Low,1236,260,20,24720,494.4,24225.6,12360,11865.6,41944,11,November,2014
Channel Partners,United States of America,Carretera,Low,1947,3,12,23364,700.92,22663.08,5841,16822.08,41883,9,September,2014
Channel Partners,United States of America,Paseo,Low,1369.5,10,12,16434,493.02,15940.98,4108.5,11832.48,41821,7,July,2014
Small Business,United States of America,VTT,Low,2844,250,300,853200,25596,827604,711000,116604,41671,2,February,2014
Government,United States of America,Velo,Low,736,120,20,14720,588.8,14131.2,7360,6771.2,41518,9,September,2013
Government,United States of America,Carretera,Low,274,3,350,95900,3836,92064,71240,20824,41974,12,December,2014
Small Business,United States of America,Paseo,Low,2918,10,300,875400,35016,840384,729500,110884,41760,5,May,2014
Government,United States of America,Paseo,Low,3450,10,350,1207500,48300,1159200,897000,262200,41821,7,July,2014
Government,United States of America,Paseo,Low,1056,10,20,21120,844.8,20275.2,10560,9715.2,41883,9,September,2014
Midmarket,United States of America,Paseo,Low,671,10,15,10065,402.6,9662.4,6710,2952.4,41548,10,October,2013
Government,United States of America,Paseo,Low,274,10,350,95900,3836,92064,71240,20824,41974,12,December,2014
Channel Partners,United States of America,Velo,Low,1465,120,12,17580,703.2,16876.8,4395,12481.8,41699,3,March,2014
Government,United States of America,VTT,Low,349,250,350,122150,4886,117264,90740,26524,41518,9,September,2013
Midmarket,United States of America,Amarilla,Low,671,260,15,10065,402.6,9662.4,6710,2952.4,41548,10,October,2013
Small Business,United States of America,Carretera,Medium,991,3,300,297300,14865,282435,247750,34685,41791,6,June,2014
Government,United States of America,Carretera,Medium,570,3,7,3990,199.5,3790.5,2850,940.5,41974,12,December,2014
Enterprise,United States of America,Montana,Medium,3627,5,125,453375,22668.75,430706.25,435240,-4533.75,41821,7,July,2014
Enterprise,United States of America,Paseo,Medium,2992,10,125,374000,18700,355300,359040,-3740,41699,3,March,2014
Government,United States of America,Paseo,Medium,2327,10,7,16289,814.45,15474.55,11635,3839.55,41760,5,May,2014
Small Business,United States of America,Paseo,Medium,991,10,300,297300,14865,282435,247750,34685,41791,6,June,2014
Government,United States of America,Paseo,Medium,602,10,350,210700,10535,200165,156520,43645,41791,6,June,2014
Enterprise,United States of America,Paseo,Medium,861,10,125,107625,5381.25,102243.75,103320,-1076.25,41913,10,October,2014
Government,United States of America,Paseo,Medium,2663,10,20,53260,2663,50597,26630,23967,41974,12,December,2014
Midmarket,United States of America,Velo,Medium,555,120,15,8325,416.25,7908.75,5550,2358.75,41640,1,January,2014
Government,United States of America,Velo,Medium,602,120,350,210700,10535,200165,156520,43645,41791,6,June,2014
Government,United States of America,Velo,Medium,2832,120,20,56640,2832,53808,28320,25488,41852,8,August,2014
Enterprise,United States of America,Velo,Medium,861,120,125,107625,5381.25,102243.75,103320,-1076.25,41913,10,October,2014
Government,United States of America,VTT,Medium,1265,250,20,25300,1265,24035,12650,11385,41579,11,November,2013
Government,United States of America,VTT,Medium,2663,250,20,53260,2663,50597,26630,23967,41974,12,December,2014
Government,United States of America,VTT,Medium,570,250,7,3990,199.5,3790.5,2850,940.5,41974,12,December,2014
Government,United States of America,Carretera,Medium,1117.5,3,20,22350,1341,21009,11175,9834,41640,1,January,2014
Midmarket,United States of America,Carretera,Medium,2030,3,15,30450,1827,28623,20300,8323,41944,11,November,2014
